,Unnamed: 0.1,Unnamed: 0,id,author,title,location,city,price,no_of_bedrooms,no_of_bathrooms,no_of_floor,parking_area,facing_side,built_date,area1,area2,area3,area_formating,road_width,purpose,property_type,latitude,longitude
2051,2051,2051,2052,1,"House For Sale In Bhatbhateni, Kathmandu","Bhatbhateni, Bhatbhateni, Kathmandu",Kathmandu,235000000.0,10,10,0.0,0,East,01/01/2075,0.0,33.0,0.0,HM,16 Feet,SL,H,85.3222889,27.7113693
2052,2052,2052,2053,1,"Land For Sale In Kalanki, Kathmandu","Dhungeadda, Kalanki, Kathmandu",Kathmandu,4500000.0,0,0,0.0,0,South East,01/01/2075,0.0,13.0,0.0,HM,20 Feet,RT,L,85.283586,27.693518
2053,2053,2053,2054,1,"House For Sale In Maharajgunj, Kathmandu","Nearby, Teaching Hospital, Maharajgunj, Kathmandu",Kathmandu,47500000.0,10,6,0.0,0,East,01/01/2075,0.0,3.0,0.0,HM,11 Meter,SL,H,85.290253,27.675729
2054,2054,2054,2055,1,"Land For Sale In Godawari, Lalitpur","Godawari, Godawari, Lalitpur",Lalitpur,950000.0,0,0,0.0,0,South,01/01/2075,0.0,10.0,0.0,HM,24 Feet,RT,L,85.38446179,27.58671795
2055,2055,2055,2056,1,"House For Sale In Chabahil, Kathmandu","Chuchhepati, Chabahil, Kathmandu",Kathmandu,35000000.0,10,4,3.0,0,West,01/01/2075,4.0,5.0,0.0,HM,20 Feet,SL,H,85.345877,27.715877
2056,2056,2056,2057,1,"Land For Sale In Tikathali, Lalitpur","Pani Tanki, Tikathali, Lalitpur",Lalitpur,2000000.0,0,0,0.0,0,West,01/01/2075,0.0,5.0,0.0,HM,14 Feet,RT,L,85.36113,27.6632
2057,2057,2057,2058,1,"Land For Sale In Satungal, Kathmandu","Balagaun, Satungal, Kathmandu",Kathmandu,2500000.0,0,0,0.0,0,South,01/01/2075,0.0,3.0,0.0,HM,14 Feet,RT,L,85.249135,27.683675
2058,2058,2058,2059,1,"House For Rent In Sanepa, Lalitpur","Sanepa, Sanepa, Lalitpur",Lalitpur,300000.0,14,5,3.0,0,North,01/01/2075,0.0,32.0,0.0,HM,13 Feet,RT,H,85.3051536,27.6914692
2059,2059,2059,2060,1,"Land For Rent In Dhapasi, Kathmandu","Dhapasi Height, Dhapasi, Kathmandu",Kathmandu,60000.0,0,0,0.0,0,South East,01/01/2075,0.0,18.0,0.0,HM,20 Feet,RT,H,85.329137,27.745214
2060,2060,2060,2061,1,"House For Rent In Bhaisepati, Lalitpur","Mangal Colony, Bhaisepati, Lalitpur",Lalitpur,60000.0,3,3,3.0,0,North,01/01/2075,4.0,5.0,0.0,HM,16 Feet,RT,H,78.418796,24.692493
2061,2061,2061,2062,1,"Apartment For Rent In Hattiban, Lalitpur","City Scape Apartment, Hattiban, Lalitpur",Lalitpur,55000.0,3,2,0.0,0,North,01/01/2075,0.0,0.0,0.0,HM,20 Feet,RT,H,0.0,0.0
